"Hugo_Symbol","M1","M2","pval","or","ci.up","ci.low","adjPval"
"NAALAD2",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NAV1",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"NAV3",9,5,1,0.965730887700667,3.79489479084319,0.279498089954906,1
"NBAS",9,4,1,1.2208439579484,5.59363974797328,0.328259049826759,1
"NBPF1",12,6,1,1.08075194159642,3.64735942319755,0.358935793882192,1
"NCAPD3",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"NCAPH",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"NCOA3",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"NCOR1",11,6,1,0.984396648525499,3.36745722030887,0.319486401951442,1
"NDST3",10,5,1,1.07967474752805,4.1665939942807,0.322871117345178,1
"NDST4",14,7,1,1.08185869741572,3.30356073728855,0.389132090693962,1
"NEUROD4",10,5,1,1.07967474752805,4.1665939942807,0.322871117345178,1
"NFATC3",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"NFIC",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NID2",10,5,1,1.07967474752805,4.1665939942807,0.322871117345178,1
"NLGN2",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NLRP2",14,7,1,1.08185869741572,3.30356073728855,0.389132090693962,1
"NLRP6",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NLRP9",12,7,1,0.915393648942473,2.85983785377962,0.317193340344181,1
"NMUR2",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"NOS1",13,7,1,0.998064155449373,3.08036332997825,0.352858095325988,1
"NOS1AP",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NOS3",10,5,1,1.07967474752805,4.1665939942807,0.322871117345178,1
"NOTCH2",9,5,1,0.965730887700667,3.79489479084319,0.279498089954906,1
"NPHP1",7,4,1,0.938155815455862,4.50088638437942,0.230483610726595,1
"NPHP3",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"NPNT",7,4,1,0.938155815455862,4.50088638437942,0.230483610726595,1
"NPR2",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NPY2R",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NRAS",43,23,1,1.00666190370701,1.91636785695464,0.537451544742898,1
"NRK",10,5,1,1.07967474752805,4.1665939942807,0.322871117345178,1
"NT5DC3",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"NUP210",11,5,1,1.19516677478342,4.5437010925217,0.367092330454534,1
"NYAP1",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"NYNRIN",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"OGDH",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"OGFR",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"OLFM4",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"OPCML",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"OPLAH",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"OPRK1",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"OR10A5",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"OR10G3",5,2,1,1.35324648684234,14.5028722134504,0.215871898369936,1
"OR11H4",5,3,1,0.892895781546288,5.89150494696745,0.168915388872569,1
"OR13C3",6,3,1,1.07760442423058,6.82913700236859,0.22327485600935,1
"OR14A16",7,4,1,0.938155815455862,4.50088638437942,0.230483610726595,1
