"Hugo_Symbol","M1","M2","pval","or","ci.up","ci.low","adjPval"
"MYH1",79,25,0.000868133426327928,2.27679711399855,3.9090040743623,1.36199882795848,0.0970266770601802
"RYR1",79,25,0.000868133426327928,2.27679711399855,3.9090040743623,1.36199882795848,0.0970266770601802
"PAPPA",58,15,0.000929296625373509,2.69968969824173,5.31360821360018,1.44901392933179,0.102654859779632
"SRGAP3",38,7,0.00103321547594988,3.66060338928839,9.94492119384202,1.56700917382012,0.110374846343612
"PCDH18",64,18,0.00104141093264004,2.50146070121368,4.66408255558365,1.39996010788816,0.110374846343612
"PJA1",0,7,0.00105291755345979,0,0.414762839884042,0,0.110374846343612
"SLC9A6",0,7,0.00105291755345979,0,0.414762839884042,0,0.110374846343612
"TAOK2",23,2,0.00106856600546202,7.52858319151978,66.7877258717256,1.82275373936098,0.110374846343612
"ADCY1",35,6,0.00113638452194868,3.90993417948119,11.6202837497834,1.58147529373373,0.110374846343612
"CLSTN2",35,6,0.00113638452194868,3.90993417948119,11.6202837497834,1.58147529373373,0.110374846343612
"ANO4",55,14,0.00113904255516801,2.72465584399111,5.48897420833213,1.43627770752505,0.110374846343612
"SLC35F3",26,3,0.00120732710899235,5.70770159872198,29.9211087283225,1.70974878954551,0.110374846343612
"LRP1B",129,52,0.00123884011699779,1.92682417935457,2.93583070123521,1.27464677126899,0.110374846343612
"GPR158",42,9,0.00124037259466452,3.16052296793045,7.5843034930491,1.46720534158228,0.110374846343612
"ANPEP",29,4,0.0012461180776571,4.80249208066683,19.1212937267347,1.64494795581593,0.110374846343612
"FAM135B",86,29,0.00128695021767421,2.15206940846147,3.58331044634024,1.32026714028553,0.110374846343612
"FCGBP",61,17,0.00130090571874967,2.50712235519324,4.75577257741208,1.38393775023718,0.110374846343612
"ANO7",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"FETUB",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"KLF17",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"MYO18A",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"PHLDB1",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"PPP3R2",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"PRPF6",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"RNF220",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"SH2D3C",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"UBXN10",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"WDR11",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"ZCWPW1",14,0,0.00139317141445853,Inf,Inf,2.09481592527661,0.110374846343612
"ANGPT1",39,8,0.00143629421631818,3.28150605077521,8.33713141726965,1.46485906066998,0.110374846343612
"GALNT13",39,8,0.00143629421631818,3.28150605077521,8.33713141726965,1.46485906066998,0.110374846343612
"PGK2",39,8,0.00143629421631818,3.28150605077521,8.33713141726965,1.46485906066998,0.110374846343612
"ZSWIM2",39,8,0.00143629421631818,3.28150605077521,8.33713141726965,1.46485906066998,0.110374846343612
"CTAGE6",19,1,0.00144450956921632,12.3255484746123,515.428851363693,1.92487178894315,0.110374846343612
"PPEF2",19,1,0.00144450956921632,12.3255484746123,515.428851363693,1.92487178894315,0.110374846343612
"AKAP6",40,8,0.00144639491651477,3.37890654236862,8.56972845627361,1.51164099548486,0.110374846343612
"LRRIQ3",40,8,0.00144639491651477,3.37890654236862,8.56972845627361,1.51164099548486,0.110374846343612
"AK5",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"GCKR",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"IVL",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"OIT3",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"OR2A14",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"SPPL2C",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"ZNF677",18,1,0.00147553741954092,11.6345724979516,487.908232101953,1.8048800311799,0.110374846343612
"PTPRD",62,18,0.00154850885020107,2.40233086888978,4.48681454928235,1.34168354627491,0.114388489276635
"ZBTB33",2,10,0.00155327527544062,0.116744730835614,0.557361830398217,0.0122692583324188,0.114388489276635
"CHD5",36,7,0.00163687578565419,3.44104836865787,9.37717094465425,1.46582367563514,0.117805454270567
"DDX60L",36,7,0.00163687578565419,3.44104836865787,9.37717094465425,1.46582367563514,0.117805454270567
"OR4N2",36,7,0.00163687578565419,3.44104836865787,9.37717094465425,1.46582367563514,0.117805454270567
"DYSF",49,12,0.00167835319384903,2.7954172441422,5.95688570390091,1.41197787254245,0.118012305394224
"ENAM",49,12,0.00167835319384903,2.7954172441422,5.95688570390091,1.41197787254245,0.118012305394224
"ADGRB3",64,19,0.00175944031814397,2.35526301083481,4.33399007402266,1.331067533274,0.118012305394224
"CNTN5",70,22,0.00181986053741274,2.24237402544929,3.97333888009275,1.30617760357666,0.118012305394224
"A2ML1",33,6,0.00182842002652452,3.65826682825329,10.9117175924355,1.47154749351976,0.118012305394224
"LILRA1",33,6,0.00182842002652452,3.65826682825329,10.9117175924355,1.47154749351976,0.118012305394224
"PCDHA11",33,6,0.00182842002652452,3.65826682825329,10.9117175924355,1.47154749351976,0.118012305394224
"ABCB4",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"CCDC170",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"EIF4G1",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"KIAA1549L",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"KIF13A",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"MYBPC3",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"MYH14",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"VWA8",22,2,0.00183844727660307,7.17506617981583,63.7812181604228,1.72850572218858,0.118012305394224
"COL1A2",41,9,0.00187262108140111,3.07306773980937,7.38507065857605,1.42363114495393,0.118012305394224
"GABRG1",41,9,0.00187262108140111,3.07306773980937,7.38507065857605,1.42363114495393,0.118012305394224
"GHR",41,9,0.00187262108140111,3.07306773980937,7.38507065857605,1.42363114495393,0.118012305394224
"FLNC",60,17,0.00190434824112011,2.45545182310746,4.66117415784161,1.35391927033705,0.118012305394224
"SLIT2",60,17,0.00190434824112011,2.45545182310746,4.66117415784161,1.35391927033705,0.118012305394224
"CHRM2",30,5,0.00198928008205277,3.96757971317901,13.3561765270621,1.48440605101173,0.118012305394224
"COL20A1",30,5,0.00198928008205277,3.96757971317901,13.3561765270621,1.48440605101173,0.118012305394224
"KPRP",30,5,0.00198928008205277,3.96757971317901,13.3561765270621,1.48440605101173,0.118012305394224
